Nome;Email;Nasc
Henrique Duarte Borges Louro;henrique.louro@fatec.sp.gov.br;01/11/1965
Ana Beatriz Mendes;ana.mendes@example.com;12/01/1995
Carlos Henrique Monteiro;carlos.monteiro@example.com;28/03/1988
Mariana Alves Duarte;mariana.duarte@example.com;07/07/2002
Rafael Gonçalves Silva;rafael.silva@example.com;19/09/1999
Beatriz Rocha Fernandes;beatriz.fernandes@example.com;04/12/1985
João Victor Almeida;joao.almeida@example.com;30/05/1992
Larissa Martins Souza;larissa.souza@example.com;11/11/2001
Pedro Augusto Nascimento;pedro.nascimento@example.com;23/02/1980
Juliana Correia Farias;juliana.farias@example.com;15/08/1974
Lucas Ribeiro Fonseca;lucas.fonseca@example.com;02/04/2003
